movie_id,title,year,genre,director,rating,plot,content_features
1,Stree 2: Sarkate Ka Aatank,2024,"Comedy,Horror",Amar Kaushik,7.1,The headless ghost returns to terrorize the town of Chanderi,"Comedy,Horror The headless ghost returns to terrorize the town o..."
2,Kalki 2898 AD,2024,"Action,Sci-Fi,Fantasy",Nag Ashwin,7.0,"In a dystopian future, the final avatar of Vishnu emerges to save humanity","Action,Sci-Fi,Fantasy In a dystopian future, the final avatar of Vishnu ..."
3,Bhediya,2022,"Comedy,Horror",Amar Kaushik,6.7,A man transforms into a werewolf and must deal with the consequences,"Comedy,Horror A man transforms into a werewolf and must deal wit..."
4,Munjya,2024,"Comedy,Horror",Aditya Sarpotdar,6.4,A young man encounters a mischievous spirit from folklore,"Comedy,Horror A young man encounters a mischievous spirit from f..."
5,Shaitaan,2024,"Horror,Thriller",Vikas Bahl,6.4,A family encounters a supernatural threat during their vacation,"Horror,Thriller A family encounters a supernatural threat during t..."
6,Jawan,2023,"Action,Thriller",Atlee,7.0,A high-octane action thriller outlining the emotional journey of a man,"Action,Thriller A high-octane action thriller outlining the emotio..."
7,Pathaan,2023,"Action,Adventure,Thriller",Siddharth Anand,6.0,An exiled RAW agent partners with Rubina Mohsin to stop a mercenary organization,"Action,Adventure,Thriller An exiled RAW agent partners with Rubina Mohsin to..."
8,Gadar 2: The Katha Continues,2023,"Action,Drama",Anil Sharma,7.0,Tara Singh goes to Pakistan to bring his son back to India,"Action,Drama Tara Singh goes to Pakistan to bring his son back ..."
9,Animal,2023,"Action,Crime,Drama",Sandeep Reddy Vanga,6.1,The son of a rich businessman returns home after his father survives a murder attempt,"Action,Crime,Drama The son of a rich businessman returns home after h..."
10,The Kerala Story,2023,"Drama,Thriller",Sudipto Sen,7.3,A converted Muslim woman narrates her ordeal of how she was forced to join ISIS,"Drama,Thriller A converted Muslim woman narrates her ordeal of ho..."
11,Drishyam 2,2022,"Crime,Drama,Thriller",Abhishek Pathak,8.2,Vijay Salgaonkar runs a cinema hall and lives with his family,"Crime,Drama,Thriller Vijay Salgaonkar runs a cinema hall and lives with..."
12,Bhool Bhulaiyaa 2,2022,"Comedy,Horror",Anees Bazmee,5.6,"When strangers Ruhan and Reet meet in the Himalayas, they're instantly drawn to each other","Comedy,Horror When strangers Ruhan and Reet meet in the Himalaya..."
13,Gangubai Kathiawadi,2022,"Biography,Crime,Drama",Sanjay Leela Bhansali,7.8,"Duped and sold to a brothel, a young woman fearlessly reclaims her power","Biography,Crime,Drama Duped and sold to a brothel, a young woman fearles..."
14,The Kashmir Files,2022,Drama,Vivek Ranjan Agnihotri,8.3,A story based on video interviews of the first generation victims of The Kashmir Genocide,Drama A story based on video interviews of the first gen...
15,Brahmastra: Part One – Shiva,2022,"Action,Adventure,Fantasy",Ayan Mukerji,5.6,"Shiva, a young DJ, discovers he has a strange connection with the element of fire","Action,Adventure,Fantasy Shiva, a young DJ, discovers he has a strange conn..."
16,Sooryavanshi,2021,"Action,Crime,Drama",Rohit Shetty,4.7,"DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India fights for the peace","Action,Crime,Drama DCP Veer Sooryavanshi, the chief of the Anti-Terro..."
17,Bell Bottom,2021,"Action,Drama,Thriller",Ranjit M Tewari,7.0,When an Indian commercial aircraft is hijacked by terrorists in the mid 1980s,"Action,Drama,Thriller When an Indian commercial aircraft is hijacked by ..."
18,83,2021,"Biography,Drama,Sport",Kabir Khan,7.4,Kapil Dev leads India to its first World Cup win in 1983,"Biography,Drama,Sport Kapil Dev leads India to its first World Cup win i..."
19,Shershah,2021,"Biography,Drama,War",Vishnuvardhan,8.9,The story of PVC awardee Indian soldier Capt. Vikram Batra,"Biography,Drama,War The story of PVC awardee Indian soldier Capt. Vikr..."
20,Mumbai Saga,2021,"Action,Crime,Drama",Sanjay Gupta,4.8,The changing face of Bombay from slums to skyscrapers in the 1980s and '90s,"Action,Crime,Drama The changing face of Bombay from slums to skyscrap..."
21,Tanhaji: The Unsung Warrior,2020,"Action,Biography,Drama",Om Raut,7.6,"The story of Tanaji Malusare, a 17th-century Maratha warrior","Action,Biography,Drama The story of Tanaji Malusare, a 17th-century Marat..."
22,Angrezi Medium,2020,"Comedy,Drama",Homi Adajania,7.3,When his daughter decides to further her studies in London,"Comedy,Drama When his daughter decides to further her studies i..."
23,Gunjan Saxena: The Kargil Girl,2020,"Biography,Drama",Sharan Sharma,6.0,Inspired by the life of a fearless young officer,"Biography,Drama Inspired by the life of a fearless young officer..."
24,Lootcase,2020,"Comedy,Crime",Rajesh Krishnan,7.8,Nandan Kumar finds a suitcase and discovers it is full of cash,"Comedy,Crime Nandan Kumar finds a suitcase and discovers it is ..."
25,Shakuntala Devi,2020,"Biography,Drama",Anu Menon,5.8,The extraordinary story of the legendary mathematician,"Biography,Drama The extraordinary story of the legendary mathemati..."
26,Uri: The Surgical Strike,2019,"Action,Drama,War",Aditya Dhar,8.2,Indian army special forces execute a covert operation,"Action,Drama,War Indian army special forces execute a covert operat..."
27,Chhichhore,2019,"Comedy,Drama",Nitesh Tiwari,8.3,Following a group of friends from university as they progress into middle-age life,"Comedy,Drama Following a group of friends from university as th..."
28,Article 15,2019,"Crime,Drama,Thriller",Anubhav Sinha,8.1,"In the rural heartlands of India, an upright police officer sets out on a crusade","Crime,Drama,Thriller In the rural heartlands of India, an upright polic..."
29,Super 30,2019,"Biography,Drama",Vikas Bahl,7.9,Based on life of Patna-based mathematician Anand Kumar,"Biography,Drama Based on life of Patna-based mathematician Anand K..."
30,Gully Boy,2019,"Drama,Music",Zoya Akhtar,7.9,A coming-of-age story based on the lives of street rappers in Mumbai,"Drama,Music A coming-of-age story based on the lives of street..."
31,War,2019,"Action,Adventure,Thriller",Siddharth Anand,6.5,"Khalid, is entrusted with the task of eliminating Kabir, a former soldier turned rogue","Action,Adventure,Thriller Khalid, is entrusted with the task of eliminating ..."
32,Kabir Singh,2019,"Drama,Romance",Sandeep Reddy Vanga,7.0,Kabir Singh is a remake of a Telugu movie Arjun Reddy where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person,"Drama,Romance Kabir Singh is a remake of a Telugu movie Arjun Re..."
33,Mission Mangal,2019,"Drama,History",Jagan Shakti,6.5,Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan),"Drama,History Based on true events of the Indian Space Research ..."
34,Saand Ki Aankh,2019,"Action,Biography,Drama",Tushar Hiranandani,7.4,"Both over the age of 60, Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills","Action,Biography,Drama Both over the age of 60, Chandro Tomar and Prakash..."
35,Batla House,2019,"Action,Crime,Drama",Nikkhil Advani,7.3,"After a deadly encounter at Batla House, DCP Sanjeev Kumar Yadav fights to prove the innocence of his team","Action,Crime,Drama After a deadly encounter at Batla House, DCP Sanje..."
36,Dream Girl,2019,"Comedy,Romance",Raaj Shaandilyaa,6.6,"Desperate to find employment, Karam picks up a job as 'Pooja' at a local radio station","Comedy,Romance Desperate to find employment, Karam picks up a job..."
37,Housefull 4,2019,"Comedy,Fantasy",Farhad Samji,4.1,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years","Comedy,Fantasy Three couples who get separated from each other du..."
38,Good Newwz,2019,"Comedy,Drama",Raj Mehta,6.1,Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies,"Comedy,Drama Two couples with the same surnames pursue in-vitro..."
39,Marjaavaan,2019,"Action,Drama,Romance",Milap Zaveri,4.5,Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down,"Action,Drama,Romance Raghu and Zoya are enjoying their lives together u..."
40,Dabangg 3,2019,"Action,Comedy,Crime",Prabhu Deva,4.2,"Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds","Action,Comedy,Crime Chulbul Pandey encounters an enemy from his past, ..."
41,Pati Patni Aur Woh,2019,"Comedy,Romance",Mudassar Aziz,6.1,"Abhinav Tyagi aka Chintu Tyagi is an ordinary, middle-class man who finds himself torn between his wife and another woman","Comedy,Romance Abhinav Tyagi aka Chintu Tyagi is an ordinary, mid..."
