movie_id,title,year,genre,director,rating,plot,content_features
1,Pushpa 2: The Rule,2024,"Action,Crime,Thriller",Sukumar,6.1,Pushpa continues his rise in the smuggling world while facing new threats,"Action,Crime,Thriller Pushpa continues his rise in the smuggling world w..."
2,Kalki 2898 AD,2024,"Action,Sci-Fi,Fantasy",Nag Ashwin,7.0,The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu's final avatar launches a war against darkness,"Action,Sci-Fi,Fantasy The future of those in the dystopian city of Kasi ..."
3,Devara Part 1,2024,"Action,Drama",Koratala Siva,6.0,A mighty sea warrior takes a violent stand against the criminal deeds of his village,"Action,Drama A mighty sea warrior takes a violent stand against..."
4,Saripodhaa Sanivaaram,2024,"Action,Thriller",Vivek Athreya,7.0,"In order to defend the innocent from a corrupt and brutal cop, a vigilante hero must work around his own self-imposed code of honor","Action,Thriller In order to defend the innocent from a corrupt and..."
5,Lucky Baskhar,2024,"Drama,Thriller",Venky Atluri,8.0,A cash-strapped cashier working at a bank embarks on a risky investment scheme,"Drama,Thriller A cash-strapped cashier working at a bank embarks ..."
6,Committee Kurrollu,2024,"Drama,Comedy",Yadhu Vamsi,8.1,"In a peaceful West Godavari village, the harmony of a close-knit friend group is disrupted","Drama,Comedy In a peaceful West Godavari village, the harmony o..."
7,Tillu Square,2024,"Comedy,Crime",Mallik Ram,6.6,"One year after a love affair entangled him in a murder case, a hapless DJ has a one-night stand","Comedy,Crime One year after a love affair entangled him in a mu..."
8,Hanu Man,2024,"Action,Adventure,Fantasy",Prasanth Varma,7.7,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman,"Action,Adventure,Fantasy An imaginary place called Anjanadri where the prot..."
9,Gunjan Saxena: The Kargil Girl,2020,"Biography,Drama",Sharan Sharma,6.0,Inspired by the life of a fearless young officer,"Biography,Drama Inspired by the life of a fearless young officer..."
10,Salaar: Part 1 – Ceasefire,2023,"Action,Crime,Thriller",Prashanth Neel,6.1,A gang leader tries to keep a promise made to his dying friend and takes on the other criminal gangs,"Action,Crime,Thriller A gang leader tries to keep a promise made to his ..."
11,RRR,2022,"Action,Drama",S.S. Rajamouli,7.8,Two revolutionaries fight against British rule in India,"Action,Drama Two revolutionaries fight against British rule in ..."
12,Sita Ramam,2022,"Romance,Drama",Hanu Raghavapudi,8.5,An orphan soldier's life changes after he receives a letter from a girl named Sita,"Romance,Drama An orphan soldier's life changes after he receives..."
13,KGF Chapter 2,2022,"Action,Crime,Drama",Prashanth Neel,8.3,Rocky continues his journey in the gold smuggling empire,"Action,Crime,Drama Rocky continues his journey in the gold smuggling ..."
14,Kantara,2022,"Action,Adventure,Thriller",Rishab Shetty,8.4,Tribal warrior protects his village and culture,"Action,Adventure,Thriller Tribal warrior protects his village and culture..."
15,Vikram,2022,"Action,Crime,Thriller",Lokesh Kanagaraj,8.4,Agent takes on international drug cartel,"Action,Crime,Thriller Agent takes on international drug cartel..."
16,Pushpa: The Rise,2021,"Action,Crime,Thriller",Sukumar,7.6,Violence erupts between red sandalwood smugglers and the police charged with bringing down their organization,"Action,Crime,Thriller Violence erupts between red sandalwood smugglers a..."
17,Master,2021,"Action,Crime,Thriller",Lokesh Kanagaraj,7.8,Professor fights against drug mafia in college,"Action,Crime,Thriller Professor fights against drug mafia in college..."
18,Vakeel Saab,2021,"Drama,Thriller",Venu Sriram,6.9,A lawyer comes out of retirement to fight a case,"Drama,Thriller A lawyer comes out of retirement to fight a case..."
19,Love Story,2021,"Romance,Drama",Sekhar Kammula,7.7,A dance teacher and a fitness trainer find love,"Romance,Drama A dance teacher and a fitness trainer find love..."
20,Krack,2021,"Action,Crime",Gopichand Malineni,6.4,A police officer fights against criminals in Ongole,"Action,Crime A police officer fights against criminals in Ongol..."
21,Tuck Jagadish,2021,"Action,Drama",Shiva Nirvana,6.1,A man fights for his family's unity,"Action,Drama A man fights for his family's unity..."
22,Ala Vaikunthapurramuloo,2020,"Action,Comedy,Drama",Trivikram Srinivas,7.3,Son of billionaire lives simple life until circumstances change,"Action,Comedy,Drama Son of billionaire lives simple life until circums..."
23,Sarileru Neekevvaru,2020,"Action,Comedy",Anil Ravipudi,6.9,Army officer protects a family and school from threats,"Action,Comedy Army officer protects a family and school from thr..."
24,World Famous Lover,2020,"Romance,Drama",Kranthi Madhav,5.0,An amalgamation of four different love stories,"Romance,Drama An amalgamation of four different love stories..."
25,Nishabdham,2020,"Crime,Mystery,Thriller",Hemant Madhukar,4.3,"Seattle PD is investigating the murder of a man and Sakshi, a deaf and mute artist","Crime,Mystery,Thriller Seattle PD is investigating the murder of a man an..."
26,Jersey,2019,"Sports,Drama",Gowtam Tinnanuri,8.5,Cricketer struggles with personal and professional challenges,"Sports,Drama Cricketer struggles with personal and professional..."
27,Maharshi,2019,Drama,Vamshi Paidipally,7.8,CEO learns life values and helps farmers,Drama CEO learns life values and helps farmers...
28,Dear Comrade,2019,"Action,Drama,Romance",Bharat Kamma,7.3,Student leader fights for justice while dealing with love,"Action,Drama,Romance Student leader fights for justice while dealing wi..."
29,Agent Sai Srinivasa Athreya,2019,"Comedy,Mystery,Thriller",Swaroop RSJ,8.3,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller,"Comedy,Mystery,Thriller Agent Sai Srinivasa Athreya is an authentic humoro..."
30,Mathu Vadalara,2019,"Comedy,Crime,Thriller",Ritesh Rana,8.2,"Babu, a delivery boy, quits job due to low pay","Comedy,Crime,Thriller Babu, a delivery boy, quits job due to low pay..."
31,Mahanati,2018,"Biography,Drama",Nag Ashwin,8.4,Biography of legendary South Indian actress Savitri,"Biography,Drama Biography of legendary South Indian actress Savitr..."
32,Rangasthalam,2018,"Action,Comedy,Drama",Sukumar,8.2,Village engineer fights against corruption and injustice,"Action,Comedy,Drama Village engineer fights against corruption and inj..."
33,96,2018,"Romance,Drama",C. Prem Kumar,8.5,Photographer reunites with school love after years,"Romance,Drama Photographer reunites with school love after years..."
34,Geetha Govindam,2018,"Romance,Comedy",Parasuram,7.7,College romance between a lecturer and student,"Romance,Comedy College romance between a lecturer and student..."
35,C/o Kancharapalem,2018,"Romance,Drama",Venkatesh Maha,8.8,Four love stories span multiple generations and social strata in this small-town tale,"Romance,Drama Four love stories span multiple generations and so..."
36,Goodachari,2018,"Action,Thriller",Sashi Kiran Tikka,7.8,"Gopi, is the son of an ex-RAW agent Raghuram","Action,Thriller Gopi, is the son of an ex-RAW agent Raghuram..."
37,Ee Nagaraniki Emaindi,2018,"Comedy,Drama",Tharun Bhascker Dhaassyam,8.0,Four friends who are engineering students get together to make a short film,"Comedy,Drama Four friends who are engineering students get toge..."
38,Taxiwaala,2018,"Comedy,Horror,Thriller",Rahul Sankrityan,7.6,A young cab driver's taxi becomes haunted by a spirit,"Comedy,Horror,Thriller A young cab driver's taxi becomes haunted by a spi..."
39,Antariksham 9000 KMPH,2018,"Adventure,Drama,Sci-Fi",Sankalp Reddy,6.3,"The coordinates of an old satellite from India, Mihira, are lost with the potential for it to wreak havoc","Adventure,Drama,Sci-Fi The coordinates of an old satellite from India, Mi..."
40,Chi La Sow,2018,"Romance,Comedy",Rahul Ravindran,7.7,A software engineer comes to India to serve the nation and looks for a wife,"Romance,Comedy A software engineer comes to India to serve the na..."
41,Baahubali 2: The Conclusion,2017,"Action,Drama,Fantasy",S.S. Rajamouli,8.2,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers","Action,Drama,Fantasy When Shiva, the son of Bahubali, learns about his ..."
42,Arjun Reddy,2017,"Romance,Drama",Sandeep Reddy Vanga,7.9,"Arjun Reddy, a short-tempered house surgeon, gets used to drugs and drinks","Romance,Drama Arjun Reddy, a short-tempered house surgeon, gets ..."
43,Fidaa,2017,"Romance,Drama",Sekhar Kammula,7.6,Varun and Bhanumathi fall for each other when he visits her village,"Romance,Drama Varun and Bhanumathi fall for each other when he v..."
44,Khaidi No. 150,2017,"Action,Drama",V. V. Vinayak,5.9,A man returns from exile to exact revenge on those who wronged him,"Action,Drama A man returns from exile to exact revenge on those..."
45,Raja The Great,2017,"Action,Comedy",Anil Ravipudi,6.2,A blind man with extraordinary senses fights against a criminal gang,"Action,Comedy A blind man with extraordinary senses fights again..."
46,Pelli Choopulu,2016,"Romance,Comedy",Tharun Bhascker Dhaassyam,8.2,A wannabe businesswoman and a happy-go-lucky guy meet during an arranged marriage blind date,"Romance,Comedy A wannabe businesswoman and a happy-go-lucky guy m..."
47,Kshanam,2016,"Crime,Mystery,Thriller",Ravikanth Perepu,8.1,An NRI comes to Chennai and starts a real estate business,"Crime,Mystery,Thriller An NRI comes to Chennai and starts a real estate b..."
48,Theri,2016,"Action,Drama",Atlee,7.1,Police officer fights criminals while protecting family,"Action,Drama Police officer fights criminals while protecting f..."
49,A Aa,2016,"Romance,Comedy,Drama",Trivikram Srinivas,7.2,A young woman from a wealthy family falls in love with a middle-class man,"Romance,Comedy,Drama A young woman from a wealthy family falls in love ..."
